,differentkslowEC_ARES_1_10-5-5_1differentkslowEC_ARES_1_10-5-5_2differentkslowEC_ARES_1_10-5-5_3differentkslowEC_ARES_1_10-5-5_4differentkslowEC_ARES_1_10-5-5_5differentkslowEC_ARES_1_10-5-5_6,differentkslowEC_ARES_2_10-5-5_1differentkslowEC_ARES_2_10-5-5_2differentkslowEC_ARES_2_10-5-5_3differentkslowEC_ARES_2_10-5-5_4differentkslowEC_ARES_2_10-5-5_5differentkslowEC_ARES_2_10-5-5_6,differentkslowEC_ARES_3_10-5-5_1differentkslowEC_ARES_3_10-5-5_2differentkslowEC_ARES_3_10-5-5_3differentkslowEC_ARES_3_10-5-5_4differentkslowEC_ARES_3_10-5-5_5differentkslowEC_ARES_3_10-5-5_6,differentkslowEC_ARES_4_10-5-5_1differentkslowEC_ARES_4_10-5-5_2differentkslowEC_ARES_4_10-5-5_3differentkslowEC_ARES_4_10-5-5_4differentkslowEC_ARES_4_10-5-5_5differentkslowEC_ARES_4_10-5-5_6,differentkslowEC_ARES_5_10-5-5_1differentkslowEC_ARES_5_10-5-5_2differentkslowEC_ARES_5_10-5-5_3differentkslowEC_ARES_5_10-5-5_4differentkslowEC_ARES_5_10-5-5_5differentkslowEC_ARES_5_10-5-5_6,differentkslowEC_ARES_6_10-5-5_1differentkslowEC_ARES_6_10-5-5_2differentkslowEC_ARES_6_10-5-5_3differentkslowEC_ARES_6_10-5-5_4differentkslowEC_ARES_6_10-5-5_5differentkslowEC_ARES_6_10-5-5_6,differentkslowEC_ARES_7_10-5-5_1differentkslowEC_ARES_7_10-5-5_2differentkslowEC_ARES_7_10-5-5_3differentkslowEC_ARES_7_10-5-5_4differentkslowEC_ARES_7_10-5-5_5differentkslowEC_ARES_7_10-5-5_6,differentkslowEC_ARES_8_10-5-5_1differentkslowEC_ARES_8_10-5-5_2differentkslowEC_ARES_8_10-5-5_3differentkslowEC_ARES_8_10-5-5_4differentkslowEC_ARES_8_10-5-5_5differentkslowEC_ARES_8_10-5-5_6,differentkslowEC_ARES_9_10-5-5_1differentkslowEC_ARES_9_10-5-5_2differentkslowEC_ARES_9_10-5-5_3differentkslowEC_ARES_9_10-5-5_4differentkslowEC_ARES_9_10-5-5_5differentkslowEC_ARES_9_10-5-5_6
max_write_operation_latency_EC,0.5020216001301379,0.3167822741665441,0.23763730664656277,0.18921402048657912,0.15456134524670534,0.1341646944866079,0.11563314517658001,0.09327857970006638,0.07953380522000467
min_write_operation_latency_EC,0.24826309383997186,0.19277220981333204,0.15135024400667435,0.12111210487664721,0.09960106690999812,0.0852982184800127,0.07238372800999363,0.057655099490011706,0.04620147939999697
sem_write_operation_latency_EC,0.05326405476442844,0.025708801245432115,0.018490643901457812,0.014716017500549882,0.011922337830444019,0.010278243790203777,0.009217967818797754,0.007850244227501992,0.007273831929603208
mean_write_operation_latency_total,0.3740082071700252,0.25138035132776165,0.1946326624938788,0.15449357075612283,0.12763918789832598,0.11012740991280652,0.09396582859556986,0.07536985591113131,0.06292996211001815
median_write_operation_latency_total,0.37409442377504704,0.2479533761250074,0.19429175486665676,0.1542206666767053,0.1279446556450057,0.10997971620004289,0.09427835865501341,0.07511250353834309,0.06323078327342198
std_write_operation_latency_total,0.11910204721053354,0.05748662720481746,0.04134633671140158,0.03290601548930608,0.026659157839590185,0.02298285180421073,0.020612002657237238,0.017553679732669778,0.016264782651501233
max_write_operation_latency_total,0.5020216001301379,0.3167822741665441,0.23763730664656277,0.18921402048657912,0.15456134524670534,0.1341646944866079,0.11563314517658001,0.09327857970006638,0.07953380522000467
min_write_operation_latency_total,0.24826309383997186,0.19277220981333204,0.15135024400667435,0.12111210487664721,0.09960106690999812,0.0852982184800127,0.07238372800999363,0.057655099490011706,0.04620147939999697
sem_write_operation_latency_total,0.05326405476442844,0.025708801245432115,0.018490643901457812,0.014716017500549882,0.011922337830444019,0.010278243790203777,0.009217967818797754,0.007850244227501992,0.007273831929603208
readers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
reads_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
recons_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
servers_no,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
succ_writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
