,reconsimpleEC_ARES_10-5-10_1reconsimpleEC_ARES_10-5-10_2reconsimpleEC_ARES_10-5-10_3reconsimpleEC_ARES_10-5-10_4reconsimpleEC_ARES_10-5-10_5reconsimpleEC_ARES_10-5-10_6,reconsimpleEC_ARES_10-5-15_1reconsimpleEC_ARES_10-5-15_2reconsimpleEC_ARES_10-5-15_3reconsimpleEC_ARES_10-5-15_4reconsimpleEC_ARES_10-5-15_5reconsimpleEC_ARES_10-5-15_6,reconsimpleEC_ARES_10-5-20_1reconsimpleEC_ARES_10-5-20_2reconsimpleEC_ARES_10-5-20_3reconsimpleEC_ARES_10-5-20_4reconsimpleEC_ARES_10-5-20_5reconsimpleEC_ARES_10-5-20_6,reconsimpleEC_ARES_10-5-25_1reconsimpleEC_ARES_10-5-25_2reconsimpleEC_ARES_10-5-25_3reconsimpleEC_ARES_10-5-25_4reconsimpleEC_ARES_10-5-25_5reconsimpleEC_ARES_10-5-25_6,reconsimpleEC_ARES_10-5-30_1reconsimpleEC_ARES_10-5-30_2reconsimpleEC_ARES_10-5-30_3reconsimpleEC_ARES_10-5-30_4reconsimpleEC_ARES_10-5-30_5reconsimpleEC_ARES_10-5-30_6,reconsimpleEC_ARES_10-5-35_1reconsimpleEC_ARES_10-5-35_2reconsimpleEC_ARES_10-5-35_3reconsimpleEC_ARES_10-5-35_4reconsimpleEC_ARES_10-5-35_5reconsimpleEC_ARES_10-5-35_6,reconsimpleEC_ARES_10-5-40_1reconsimpleEC_ARES_10-5-40_2reconsimpleEC_ARES_10-5-40_3reconsimpleEC_ARES_10-5-40_4reconsimpleEC_ARES_10-5-40_5reconsimpleEC_ARES_10-5-40_6,reconsimpleEC_ARES_10-5-45_1reconsimpleEC_ARES_10-5-45_2reconsimpleEC_ARES_10-5-45_3reconsimpleEC_ARES_10-5-45_4reconsimpleEC_ARES_10-5-45_5reconsimpleEC_ARES_10-5-45_6,reconsimpleEC_ARES_10-5-50_1reconsimpleEC_ARES_10-5-50_2reconsimpleEC_ARES_10-5-50_3reconsimpleEC_ARES_10-5-50_4reconsimpleEC_ARES_10-5-50_5reconsimpleEC_ARES_10-5-50_6,reconsimpleEC_ARES_10-5-5_1reconsimpleEC_ARES_10-5-5_2reconsimpleEC_ARES_10-5-5_3reconsimpleEC_ARES_10-5-5_4reconsimpleEC_ARES_10-5-5_5reconsimpleEC_ARES_10-5-5_6
sem_read_operation_latency_total,0.0008351319301214758,0.003287991603461494,0.0034168635669821613,0.004840151184605621,0.0034014898166930185,0.003338675864564922,0.002739966922224026,0.011160815963971516,0.006657183722550139,0.0008749654454546618
mean_recon_operation_latency,1.0277324003606434,1.4211392951669444,1.0413566146387692,1.5061869676385162,1.1333426046106372,1.0734781846666819,1.1702753204733904,1.2905665514449032,1.359333850694586,0.9501942218335494
median_recon_operation_latency,1.0171655636659125,1.4332903025003056,1.040754730249925,1.4619287872483255,1.1260726717500802,1.0674711637505727,1.1697031705843983,1.2539085253332207,1.3796689897499164,0.9529890645826526
std_recon_operation_latency,0.07805770144609737,0.028018781555824122,0.07321396748934111,0.1080966852448696,0.10309219371862742,0.04743209538551081,0.07404650184838399,0.1710706942231442,0.10414036759112019,0.01270532400027571
max_recon_operation_latency,1.120719450000858,1.4555699976663163,1.118414696333275,1.7352715015003923,1.2758390081653488,1.1660632690000057,1.2779116033355724,1.5246093156686886,1.5373113301672372,0.9679281746666675
min_recon_operation_latency,0.9425968279999021,1.3747503321659071,0.9600551078328863,1.4184628623327928,0.9918200628332366,1.015140448666595,1.0639976316670072,1.0949933664984808,1.232740441831993,0.9263306743341673
sem_recon_operation_latency,0.03490846532017148,0.012530380041108012,0.03274228164172527,0.04834230726998539,0.04610423062088555,0.021212277919451253,0.033114602325810094,0.07650514024820622,0.04657298822711216,0.005681993628155209
mean_write_operation_latency_EC,0.07360250404229292,0.07680630409220408,0.07622115075167636,0.08111743668619156,0.08173221299829796,0.08490699547051715,0.08947754106282245,0.09517727172670572,0.10109542832230241,0.07181250972885513
median_write_operation_latency_EC,0.07367033472495071,0.07745397031333899,0.07620749100814768,0.08144619491678895,0.08239498456325237,0.08527537047163301,0.08915137336171028,0.0962592205550997,0.10004848237333741,0.07169023934842092
std_write_operation_latency_EC,0.0005586697353690279,0.0016472096510852948,0.0012099039555036378,0.0010631079259216696,0.0015886001049413283,0.0016837371560769784,0.0012399914097677128,0.004189614323938984,0.0039411402014393835,0.00045198762978784405
max_write_operation_latency_EC,0.07433245426672026,0.07857414622681971,0.07832286719674206,0.08210308749359684,0.08346591990319818,0.08748407394324506,0.09198085854002178,0.10120967680013564,0.10940915103034059,0.07266766069973528
