,filesizeCassandra_1048576_11-5-5_3filesizeCassandra_524288_11-5-5_1filesizeCassandra_1048576_11-5-5_2,filesizeCassandra_2097152_11-5-5_1filesizeCassandra_131072_11-5-5_3filesizeCassandra_4194304_11-5-5_1,filesizeCassandra_131072_11-5-5_2filesizeCassandra_65536_11-5-5_1filesizeCassandra_262144_11-5-5_1,filesizeCassandra_524288_11-5-5_2filesizeCassandra_8388608_11-5-5_1filesizeCassandra_524288_11-5-5_3,filesizeCassandra_1048576_11-5-5_1filesizeCassandra_2097152_11-5-5_3filesizeCassandra_2097152_11-5-5_2,filesizeCassandra_4194304_11-5-5_2filesizeCassandra_4194304_11-5-5_3filesizeCassandra_131072_11-5-5_1,filesizeCassandra_262144_11-5-5_3filesizeCassandra_65536_11-5-5_3filesizeCassandra_262144_11-5-5_2,filesizeCassandra_65536_11-5-5_2filesizeBig_slow_ARES_ABD_65536_11-5-5_3filesizeBig_slow_ARES_ABD_524288_11-5-5_3,filesizeBig_slow_ARES_ABD_524288_11-5-5_2filesizeBig_slow_ARES_ABD_65536_11-5-5_2filesizeBig_slow_ARES_ABD_4194304_11-5-5_1,filesizeBig_slow_ARES_ABD_1048576_11-5-5_2filesizeBig_slow_ARES_ABD_131072_11-5-5_1filesizeBig_slow_ARES_ABD_1048576_11-5-5_3,filesizeBig_slow_ARES_ABD_262144_11-5-5_2filesizeBig_slow_ARES_ABD_2097152_11-5-5_1filesizeBig_slow_ARES_ABD_262144_11-5-5_3,filesizeBig_slow_ARES_ABD_4194304_11-5-5_3filesizeBig_slow_ARES_ABD_4194304_11-5-5_2filesizeBig_slow_ARES_ABD_524288_11-5-5_1,filesizeBig_slow_ARES_ABD_65536_11-5-5_1filesizeBig_slow_ARES_ABD_131072_11-5-5_2filesizeBig_slow_ARES_ABD_1048576_11-5-5_1,filesizeBig_slow_ARES_ABD_131072_11-5-5_3filesizeBig_slow_ARES_ABD_2097152_11-5-5_2filesizeBig_slow_ARES_ABD_262144_11-5-5_1,filesizeBig_slow_ARES_ABD_2097152_11-5-5_3filesizeBig_slow_ABD_524288_11-5-5_1filesizeBig_slow_ABD_2097152_11-5-5_3,filesizeBig_slow_ABD_2097152_11-5-5_2filesizeBig_slow_ABD_65536_11-5-5_1filesizeBig_slow_ABD_1048576_11-5-5_1,filesizeBig_slow_ABD_131072_11-5-5_3filesizeBig_slow_ABD_131072_11-5-5_2filesizeBig_slow_ABD_4194304_11-5-5_2,filesizeBig_slow_ABD_262144_11-5-5_1filesizeBig_slow_ABD_4194304_11-5-5_3filesizeBig_slow_ABD_524288_11-5-5_2,filesizeBig_slow_ABD_2097152_11-5-5_1filesizeBig_slow_ABD_524288_11-5-5_3filesizeBig_slow_ABD_65536_11-5-5_2,filesizeBig_slow_ABD_1048576_11-5-5_3filesizeBig_slow_ABD_65536_11-5-5_3filesizeBig_slow_ABD_1048576_11-5-5_2,filesizeBig_slow_ABD_131072_11-5-5_1filesizeBig_slow_ABD_4194304_11-5-5_1filesizeBig_slow_ABD_262144_11-5-5_3,filesizeBig_slow_ABD_262144_11-5-5_2filesizeBig_slow_ARES_EC_131072_11-5-5_3filesizeBig_slow_ARES_EC_131072_11-5-5_2,filesizeBig_slow_ARES_EC_65536_11-5-5_2filesizeBig_slow_ARES_EC_4194304_11-5-5_2filesizeBig_slow_ARES_EC_262144_11-5-5_1,filesizeBig_slow_ARES_EC_65536_11-5-5_3filesizeBig_slow_ARES_EC_2097152_11-5-5_2filesizeBig_slow_ARES_EC_524288_11-5-5_1,filesizeBig_slow_ARES_EC_2097152_11-5-5_3filesizeBig_slow_ARES_EC_1048576_11-5-5_1filesizeBig_slow_ARES_EC_131072_11-5-5_1,filesizeBig_slow_ARES_EC_65536_11-5-5_1filesizeBig_slow_ARES_EC_262144_11-5-5_3filesizeBig_slow_ARES_EC_4194304_11-5-5_1,filesizeBig_slow_ARES_EC_262144_11-5-5_2filesizeBig_slow_ARES_EC_524288_11-5-5_2filesizeBig_slow_ARES_EC_2097152_11-5-5_1,filesizeBig_slow_ARES_EC_524288_11-5-5_3filesizeBig_slow_ARES_EC_1048576_11-5-5_2filesizeBig_slow_ARES_EC_1048576_11-5-5_3,filesizeRedisW_131072_11-5-5_1filesizeRedisW_8388608_11-5-5_2filesizeRedisW_1048576_11-5-5_3,filesizeRedisW_1048576_11-5-5_2filesizeRedisW_8388608_11-5-5_3filesizeRedisW_262144_11-5-5_2,filesizeRedisW_262144_11-5-5_3filesizeRedisW_2097152_11-5-5_1filesizeRedisW_4194304_11-5-5_1,filesizeRedisW_524288_11-5-5_3filesizeRedisW_65536_11-5-5_1filesizeRedisW_524288_11-5-5_2,filesizeRedisW_131072_11-5-5_2filesizeRedisW_8388608_11-5-5_1filesizeRedisW_1048576_11-5-5_1,filesizeRedisW_131072_11-5-5_3filesizeRedisW_262144_11-5-5_1filesizeRedisW_2097152_11-5-5_3,filesizeRedisW_2097152_11-5-5_2filesizeRedisW_4194304_11-5-5_2filesizeRedisW_65536_11-5-5_2,filesizeRedisW_524288_11-5-5_1filesizeRedisW_65536_11-5-5_3filesizeRedisW_4194304_11-5-5_3
min_write_operation_latency,1.3847897460237728,0.8439016635176377,0.7215934242362272,1.3313839665879494,1.5868927807760194,0.871575416776046,0.6537952617338741,0.43725635837728616,0.4430033695157909,0.5130904755560332,0.5866540230091196,0.8004472382727255,0.4357905594111653,0.5082756228037179,0.6036548730439245,0.2768280092041678,0.3439130715317151,0.432013051723683,0.27580898316379165,0.2818659655242518,0.34928297506413947,0.41785743101227857,0.7034382721192887,0.7026600976239133,0.7138221561959617,0.7143789372797146,0.8709499725916757,1.007141061235349,0.7174363849530928,0.793017186801182,0.8023547638925956,0.5745263953865505,0.7109088394733262,0.7055955368144786,0.5770928379954421,0.5853217942182092
readers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
reads_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
recons_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
servers_no,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
succ_writes_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,237.66666666666666,250.0,250.0,250.0,237.66666666666666,250.0,250.0,250.0,250.0,233.33333333333334,250.0,250.0,250.0
unsucc_writes_no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
writers_no,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
writes_no,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,237.66666666666666,250.0,250.0,250.0,237.66666666666666,250.0,250.0,250.0,250.0,233.33333333333334,250.0,250.0,250.0
succ_writes_perc,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
unsucc_writes_perc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
