,reconsimple_ARES_10-5-10_1reconsimple_ARES_10-5-10_2reconsimple_ARES_10-5-10_3reconsimple_ARES_10-5-10_4reconsimple_ARES_10-5-10_5reconsimple_ARES_10-5-10_6,reconsimple_ARES_10-5-15_1reconsimple_ARES_10-5-15_2reconsimple_ARES_10-5-15_3reconsimple_ARES_10-5-15_4reconsimple_ARES_10-5-15_5reconsimple_ARES_10-5-15_6,reconsimple_ARES_10-5-20_1reconsimple_ARES_10-5-20_2reconsimple_ARES_10-5-20_3reconsimple_ARES_10-5-20_4reconsimple_ARES_10-5-20_5reconsimple_ARES_10-5-20_6,reconsimple_ARES_10-5-25_1reconsimple_ARES_10-5-25_2reconsimple_ARES_10-5-25_3reconsimple_ARES_10-5-25_4reconsimple_ARES_10-5-25_5reconsimple_ARES_10-5-25_6,reconsimple_ARES_10-5-30_1reconsimple_ARES_10-5-30_2reconsimple_ARES_10-5-30_3reconsimple_ARES_10-5-30_4reconsimple_ARES_10-5-30_5reconsimple_ARES_10-5-30_6,reconsimple_ARES_10-5-35_1reconsimple_ARES_10-5-35_2reconsimple_ARES_10-5-35_3reconsimple_ARES_10-5-35_4reconsimple_ARES_10-5-35_5reconsimple_ARES_10-5-35_6,reconsimple_ARES_10-5-40_1reconsimple_ARES_10-5-40_2reconsimple_ARES_10-5-40_3reconsimple_ARES_10-5-40_4reconsimple_ARES_10-5-40_5reconsimple_ARES_10-5-40_6,reconsimple_ARES_10-5-45_1reconsimple_ARES_10-5-45_2reconsimple_ARES_10-5-45_3reconsimple_ARES_10-5-45_4reconsimple_ARES_10-5-45_5reconsimple_ARES_10-5-45_6,reconsimple_ARES_10-5-50_1reconsimple_ARES_10-5-50_2reconsimple_ARES_10-5-50_3reconsimple_ARES_10-5-50_4reconsimple_ARES_10-5-50_5reconsimple_ARES_10-5-50_6,reconsimple_ARES_10-5-5_1reconsimple_ARES_10-5-5_2reconsimple_ARES_10-5-5_3reconsimple_ARES_10-5-5_4reconsimple_ARES_10-5-5_5reconsimple_ARES_10-5-5_6
min_read_operation_latency_EC,0.18384164016617188,0.22303484919247787,0.22380763859583133,0.23703172791062696,0.2663914478292112,0.28139320798857614,0.3028232785962691,0.32260730549302064,0.3223857095840516,0.15801952143870548
sem_read_operation_latency_EC,0.034995698114218717,0.022037637806714347,0.022281241087294394,0.030352523765798913,0.020339826542729637,0.013714215777833775,0.016676011492819224,0.014490443976827277,0.02866366519313815,0.020332531845564137
mean_read_operation_latency_total,0.3180891001816826,0.3485043781844723,0.3622322471516544,0.39198479581267415,0.4251202101861091,0.4544879900935755,0.48168690066027464,0.5176847869625557,0.5865446984206052,0.28612193760956633
median_read_operation_latency_total,0.26819641651330284,0.31274533079505995,0.3275083353253937,0.35189512555599745,0.3951786808455058,0.45010528838241004,0.4771445200483186,0.5341528538491696,0.5740397397640942,0.27419869763999793
std_read_operation_latency_total,0.09918298897227763,0.06643961222459677,0.06479967123285914,0.07184790165208803,0.05489009720865744,0.03857746389322589,0.01795577377549931,0.039815404834582596,0.06415878165597357,0.06744890344800647
max_read_operation_latency_total,0.45864111776166594,0.44976922446895007,0.4605020158391805,0.4941256052833293,0.5068985182339504,0.5319288325547157,0.5164686492079256,0.5631912722555273,0.6862760553442968,0.373497870260059
min_read_operation_latency_total,0.22895155574164772,0.28583857045333494,0.292198479403387,0.32393156057266365,0.37351052757117126,0.4151567344047569,0.46378479611260437,0.45147944379180477,0.5045060988893335,0.16906775111105565
sem_read_operation_latency_total,0.04435598111072496,0.02971269786658488,0.02897929395926213,0.032131358426957655,0.0245475977300259,0.017252366332959356,0.008030066150124901,0.017805990352360093,0.028692679427264688,0.030164066623512484
mean_recon_operation_latency,1.3491768599171536,2.2854486379444805,1.6806638981384419,2.0668013432779033,2.4741117554157324,1.5905438129007963,1.9806102435835176,1.6724363256949397,1.973394831888072,1.791713977555699
median_recon_operation_latency,1.0243743705850648,1.8637048634160844,1.2349615143324022,1.920022082583576,1.3231209356663385,1.3412311430007928,1.5219116848329577,1.4404153876666896,1.638393526664307,1.5647065839173897
